userid,state,weixin,android,ios,first_platform,last_platform,change
11164,new,1,0,0,weixin,None,False
11162,new,11,0,0,weixin,weixin,False
11163,new,0,0,20,ios,ios,False
11174,new,0,4,0,android,android,False
11180,new,0,12,0,android,android,False
11193,new,0,18,0,android,android,False
11198,normal,0,0,7,ios,ios,False
11208,normal,0,2,0,android,android,False
11219,normal,4,0,0,weixin,weixin,False
11222,normal,13,0,0,weixin,weixin,False
11221,normal,3,0,0,weixin,weixin,False
11220,normal,4,0,0,weixin,weixin,False
11229,normal,1,0,0,weixin,None,False
11231,normal,3,0,0,weixin,weixin,False
11232,normal,0,0,2,ios,ios,False
11234,new,0,0,2,ios,ios,False
11237,new,8,0,0,weixin,weixin,False
10101,normal,4,0,0,weixin,weixin,False
11239,normal,2,0,0,weixin,weixin,False
11238,normal,0,2,0,android,android,False
11244,new,2,0,0,weixin,weixin,False
11246,normal,1,0,0,weixin,None,False
11245,new,2,0,0,weixin,weixin,False
11247,normal,0,0,1,ios,None,False
11254,new,3,0,0,weixin,weixin,False
11256,new,1,0,0,weixin,None,False
11261,normal,3,2,0,weixin,weixin,True
11269,normal,8,0,0,weixin,weixin,False
11270,normal,0,2,0,android,android,False
11271,new,1,0,0,weixin,None,False
11274,normal,4,0,0,weixin,weixin,False
11283,new,1,0,0,weixin,None,False
11287,normal,1,0,0,weixin,None,False
11288,new,0,2,0,android,android,False
11289,normal,2,0,0,weixin,weixin,False
11292,normal,0,2,0,android,android,False
11290,normal,0,0,9,ios,ios,False
11294,normal,6,0,0,weixin,weixin,False
11297,new,1,0,0,weixin,None,False
9701,normal,0,2,0,android,android,False
11300,normal,13,0,0,weixin,weixin,False
11303,new,2,0,0,weixin,weixin,False
11304,normal,0,24,0,android,android,False
11309,normal,0,0,2,ios,ios,False
11311,normal,4,0,0,weixin,weixin,False
11312,new,1,0,0,weixin,None,False
11313,normal,3,0,0,weixin,weixin,False
11321,normal,1,0,0,weixin,None,False
11156,normal,1,0,0,weixin,None,False
11327,new,2,0,0,weixin,weixin,False
11332,new,4,0,0,weixin,weixin,False
11334,normal,8,2,0,weixin,weixin,True
11336,normal,3,0,0,weixin,weixin,False
11339,new,1,0,0,weixin,None,False
11343,new,1,0,0,weixin,None,False
11342,normal,2,2,0,weixin,android,True
11350,new,11,0,0,weixin,weixin,False
11353,normal,0,2,0,android,android,False
11191,normal,0,0,6,ios,ios,False
11356,normal,1,0,0,weixin,None,False
11357,normal,0,2,0,android,android,False
11361,normal,3,0,0,weixin,weixin,False
11362,normal,2,0,0,weixin,weixin,False
11364,new,0,2,0,android,android,False
11365,new,0,0,1,ios,None,False
11367,new,1,0,0,weixin,None,False
11368,normal,6,0,0,weixin,weixin,False
11373,new,5,0,0,weixin,weixin,False
11376,normal,2,0,0,weixin,weixin,False
11375,normal,6,0,0,weixin,weixin,False
10939,normal,1,0,0,weixin,None,False
11384,new,0,0,1,ios,None,False
11391,normal,0,0,1,ios,None,False
11393,normal,2,0,0,weixin,weixin,False
11396,normal,9,10,0,android,weixin,True
11403,new,3,0,0,weixin,weixin,False
11404,normal,0,2,0,android,android,False
11406,new,0,2,0,android,android,False
11378,new,2,0,0,weixin,weixin,False
11417,new,0,0,2,ios,ios,False
11429,new,1,0,0,weixin,None,False
11438,normal,2,0,0,weixin,weixin,False
11439,normal,0,0,2,ios,ios,False
728,new,1,0,0,weixin,None,False
11449,new,0,0,2,ios,ios,False
11460,normal,0,11,0,android,android,False
11419,new,3,0,0,weixin,weixin,False
11469,new,1,0,0,weixin,None,False
11479,new,0,2,0,android,android,False
11483,new,5,0,0,weixin,weixin,False
11482,normal,2,0,0,weixin,weixin,False
11484,new,0,0,1,ios,None,False
11486,normal,1,0,0,weixin,None,False
11487,normal,0,2,0,android,android,False
11489,new,0,2,0,android,android,False
11495,normal,12,0,0,weixin,weixin,False
11499,normal,0,19,0,android,android,False
11504,normal,0,0,1,ios,None,False
11515,new,5,0,0,weixin,weixin,False
