android,change,first_platform,ios,last_platform,state,userid,weixin
0,False,weixin,0,weixin,normal,1122,64
0,False,weixin,0,weixin,normal,1124,11
0,False,weixin,0,None,normal,1126,1
0,False,weixin,0,weixin,normal,1132,32
0,False,weixin,0,weixin,normal,1133,7
0,False,weixin,0,None,normal,1136,1
0,False,weixin,0,None,new,1137,1
0,False,weixin,0,weixin,normal,1141,34
6,True,android,0,android,normal,1142,1
0,False,weixin,0,weixin,normal,1143,24
0,False,weixin,0,weixin,normal,1146,2
0,False,weixin,0,None,normal,1150,1
0,False,weixin,0,weixin,new,1157,6
0,False,weixin,0,weixin,normal,1161,12
0,False,weixin,0,None,normal,1173,1
0,False,weixin,0,weixin,normal,1176,2
0,False,weixin,0,weixin,normal,1177,2
0,False,weixin,0,weixin,normal,1179,10
0,False,weixin,0,weixin,normal,1182,3
0,False,weixin,0,weixin,normal,1184,7
0,False,weixin,0,None,new,1200,1
0,False,weixin,0,weixin,normal,1201,16
3,True,android,0,weixin,normal,1204,2
0,False,weixin,0,None,new,1208,1
0,False,weixin,0,weixin,new,1212,2
0,False,weixin,0,None,new,1218,1
8,False,android,0,android,normal,1219,0
0,False,weixin,0,weixin,normal,1220,4
0,False,weixin,0,weixin,normal,1224,5
0,False,weixin,0,weixin,new,1225,2
0,False,weixin,0,weixin,new,1227,5
0,False,weixin,0,weixin,normal,1229,7
0,False,weixin,0,weixin,normal,1231,23
2,True,android,0,weixin,normal,1235,5
0,False,weixin,0,weixin,new,1236,8
2,True,android,0,weixin,new,1238,3
0,False,weixin,0,None,new,1239,1
1,True,ios,4,android,normal,1250,2
0,False,weixin,0,weixin,normal,1252,39
0,False,weixin,0,weixin,normal,1253,3
0,False,weixin,0,weixin,normal,1254,5
0,False,weixin,0,weixin,normal,1257,11
0,False,weixin,0,weixin,new,1258,3
0,False,weixin,0,weixin,normal,1263,8
0,False,weixin,0,None,new,1266,1
0,False,weixin,0,weixin,normal,1272,35
