change,first_platform,last_platform,userid
False,weixin,Non,8373
False,weixin,Non,8374
False,weixin,Non,8375
False,weixin,Non,8376
False,weixin,Non,8380
False,weixin,Non,8381
False,weixin,Non,8384
False,android,Non,8385
False,weixin,Non,8386
False,weixin,Non,8387
False,weixin,Non,8388
False,weixin,Non,8389
False,weixin,Non,8392
False,weixin,Non,8396
False,weixin,Non,8398
False,weixin,Non,8399
False,weixin,Non,8401
False,weixin,Non,8403
False,weixin,Non,8405
True,android,weixin,8406
False,weixin,Non,8408
False,weixin,Non,8409
False,weixin,Non,8410
False,weixin,Non,8411
False,weixin,Non,8412
False,weixin,Non,8415
False,weixin,Non,8416
False,weixin,Non,8417
True,android,weixin,8418
False,weixin,Non,8421
False,weixin,Non,8422
False,weixin,Non,8423
True,ios,weixin,8424
False,weixin,Non,8426
False,weixin,Non,8427
False,weixin,Non,8428
False,weixin,Non,8432
False,weixin,Non,8433
False,weixin,Non,8434
True,android,weixin,8435
True,android,weixin,8438
True,android,weixin,8439
False,weixin,Non,8440
False,weixin,Non,8443
False,weixin,Non,8444
False,weixin,Non,8445
False,weixin,Non,8447
False,weixin,Non,8448
False,weixin,Non,8452
False,weixin,Non,8454
False,weixin,Non,8455
False,weixin,Non,8458
False,weixin,Non,8460
False,weixin,Non,8462
False,weixin,Non,8463
False,weixin,Non,8465
False,weixin,Non,8466
False,weixin,Non,8467
True,android,weixin,8468
False,weixin,Non,8469
False,weixin,Non,8472
False,weixin,Non,8475
True,android,weixin,8476
False,weixin,Non,8477
False,weixin,Non,8478
False,weixin,Non,8480
False,weixin,Non,8482
False,weixin,Non,8484
False,weixin,Non,8485
False,weixin,Non,8486
False,weixin,Non,8487
True,ios,weixin,8489
True,ios,weixin,8490
False,weixin,Non,8491
False,weixin,Non,8492
False,weixin,Non,8497
False,weixin,Non,8500
False,weixin,Non,8505
False,weixin,Non,8506
False,weixin,Non,8508
False,weixin,Non,8509
True,android,weixin,8512
False,weixin,Non,8513
False,weixin,Non,8520
False,weixin,Non,8528
False,weixin,Non,8530
False,weixin,Non,8534
False,weixin,Non,8535
False,weixin,Non,8536
False,weixin,Non,8537
False,weixin,Non,8539
False,weixin,Non,8542
False,weixin,Non,8543
False,weixin,Non,8544
False,weixin,Non,8549
False,weixin,Non,8550
False,weixin,Non,8551
False,weixin,Non,8552
False,weixin,Non,8553
False,weixin,Non,8554
True,android,weixin,8555
False,weixin,Non,8556
False,weixin,Non,8558
False,weixin,Non,8560
False,weixin,Non,8561
False,weixin,Non,8564
False,weixin,Non,8565
False,weixin,Non,8566
False,weixin,Non,8567
True,android,weixin,8568
False,weixin,Non,8569
False,weixin,Non,8573
False,weixin,Non,8574
False,weixin,Non,8575
False,weixin,Non,8576
False,weixin,Non,8577
False,weixin,Non,8578
False,weixin,Non,8582
False,weixin,Non,8586
False,weixin,Non,8587
False,weixin,Non,8589
False,weixin,Non,8590
False,weixin,Non,8591
False,weixin,Non,8592
False,weixin,Non,8593
False,weixin,Non,8594
False,weixin,Non,8595
False,weixin,Non,8596
False,weixin,Non,8600
False,weixin,Non,8601
False,weixin,Non,8602
False,weixin,Non,8603
False,weixin,Non,8604
False,weixin,Non,8605
True,android,weixin,8607
False,weixin,Non,8610
False,weixin,Non,8611
True,android,weixin,8614
False,weixin,Non,8619
False,weixin,Non,8621
False,weixin,Non,8622
False,weixin,Non,8626
False,weixin,Non,8628
False,weixin,Non,8635
False,weixin,Non,8637
False,weixin,Non,8638
False,weixin,Non,8640
False,weixin,Non,8641
False,weixin,Non,8643
False,weixin,Non,8644
False,weixin,Non,8649
False,weixin,Non,8650
False,weixin,Non,8651
False,weixin,Non,8653
False,weixin,Non,8654
False,weixin,Non,8656
False,weixin,Non,8657
True,android,weixin,8663
False,weixin,Non,8665
False,weixin,Non,8666
False,weixin,Non,8667
False,weixin,Non,8670
False,weixin,Non,8672
False,android,Non,8677
False,weixin,Non,8678
False,weixin,Non,8680
False,weixin,Non,8681
False,weixin,Non,8683
False,weixin,Non,8684
False,weixin,Non,8685
False,weixin,Non,8686
False,weixin,Non,8687
False,weixin,Non,8689
False,weixin,Non,8691
False,weixin,Non,8694
False,weixin,Non,8695
False,weixin,Non,8696
False,weixin,Non,8697
False,weixin,Non,8699
False,weixin,Non,8706
False,weixin,Non,8707
False,weixin,Non,8708
False,weixin,Non,8709
False,weixin,Non,8710
False,weixin,Non,8711
False,weixin,Non,8712
False,weixin,Non,8713
False,weixin,Non,8714
False,weixin,Non,8715
False,weixin,Non,8716
False,weixin,Non,8717
False,weixin,Non,8718
False,weixin,Non,8719
False,weixin,Non,8722
False,weixin,Non,8723
True,android,weixin,8724
False,weixin,Non,8727
False,weixin,Non,8729
False,weixin,Non,8730
False,weixin,Non,8732
False,weixin,Non,8733
False,weixin,Non,8734
False,weixin,Non,8736
True,android,weixin,8737
False,weixin,Non,8738
False,weixin,Non,8739
False,weixin,Non,8740
False,weixin,Non,8741
False,weixin,Non,8742
False,weixin,Non,8743
False,weixin,Non,8744
False,weixin,Non,8745
False,weixin,Non,8746
False,weixin,Non,8749
False,weixin,Non,8750
False,weixin,Non,8751
False,weixin,Non,8752
False,weixin,Non,8753
True,android,weixin,8755
False,weixin,Non,8756
False,weixin,Non,8758
False,weixin,Non,8760
False,weixin,Non,8762
False,weixin,Non,8764
False,weixin,Non,8765
False,weixin,Non,8767
False,weixin,Non,8769
