"amount","initamount","customamount"
"49.00","49.00","0.00"
"69.00","69.00","0.00"
"69.00","69.00","0.00"
"109.00","109.00",""
"54.00","54.00",""
"79.00","79.00",""
"100.00","49.00","100.00"
"49.00","49.00",""
"80.00","109.00","80.00"
"49.00","49.00",""
"49.00","49.00",""
"40.00","69.00","40.00"
"49.00","49.00",""
"49.00","49.00",""
"100.00","49.00","100.00"
"49.00","49.00",""
"60.00","49.00","60.00"
"60.00","119.00","60.00"
"69.00","69.00",""
"100.00","100.00",""
"87.00","87.00",""
"109.00","109.00",""
"30.00","49.00","30.00"
"64.00","64.00",""
"60.00","89.00","60.00"
"60.00","89.00","60.00"
"60.00","89.00","60.00"
"120.00","120.00",""
"120.00","120.00",""
"180.00","180.00",""
"49.00","49.00",""
"120.00","120.00",""
"69.00","69.00",""
"100.00","100.00",""
"94.00","94.00",""
"100.00","100.00",""
"89.00","89.00",""
"69.00","69.00",""
"64.00","64.00",""
"109.00","109.00",""
"200.00","200.00",""
"200.00","200.00",""
"200.00","200.00",""
"200.00","200.00",""
"79.00","79.00",""
"100.00","119.00","100.00"
"100.00","100.00",""
"69.00","69.00",""
"200.00","200.00",""
"200.00","200.00",""
"100.00","100.00","100.00"
"200.00","200.00",""
"200.00","200.00",""
"130.00","130.00",""
"79.00","79.00",""
"1000.00","1000.00",""
"1000.00","1000.00",""
"510.00","510.00",""
"104.00","104.00",""
"89.00","89.00",""
"80.00","109.00","80.00"
"49.00","49.00",""
"69.00","69.00",""
"69.00","69.00",""
"120.00","120.00",""
"49.00","49.00",""
"65.00","54.00","65.00"
"70.00","54.00","60.00"
"54.00","54.00",""
"56.00","49.00",""
"79.00","79.00",""
"92.00","109.00","92.00"
"94.00","94.00",""
"94.00","94.00",""
"55.00","49.00","55.00"
"49.00","49.00",""
"104.00","104.00",""
"79.00","79.00",""
"140.00","140.00",""
"100.00","89.00",""
"69.00","69.00",""
"89.00","89.00",""
"49.00","49.00",""
"55.00","49.00",""
"54.00","54.00",""
"78.00","99.00","78.00"
"89.00","89.00",""
"49.00","44.00","49.00"
"49.00","44.00","49.00"
"69.00","69.00",""
"100.00","100.00",""
"100.00","100.00",""
"115.00","125.00","115.00"
"49.00","44.00","49.00"
"69.00","69.00",""
"79.00","79.00",""
"100.00","79.00","100.00"
"104.00","104.00",""
"104.00","104.00",""
"99.00","104.00","99.00"
"49.00","49.00",""
"104.00","104.00",""
"145.50","94.00",""
"79.00","79.00",""
"167.00","167.00",""
"120.00","120.00",""
"130.00","130.00",""
"89.00","89.00",""
"80.00","109.00","80.00"
"62.30","49.00","56.00"
"100.00","100.00",""
"94.00","94.00",""
"80.00","99.00","80.00"
"89.00","89.00",""
"80.00","109.00","80.00"
"69.00","69.00",""
"168.00","195.00","168.00"
"49.00","49.00",""
"580.00","580.00",""
"89.00","89.00",""
"80.00","119.00","80.00"
"54.00","54.00",""
"54.00","54.00",""
"54.00","54.00",""
"79.00","79.00",""
"79.00","79.00",""
"79.00","79.00",""
"54.00","54.00",""
"54.00","54.00",""
"54.00","54.00",""
"54.00","54.00",""
"54.00","54.00",""
"49.00","49.00",""
"49.00","49.00",""
"54.00","54.00",""
"54.00","54.00",""
"49.00","49.00",""
"49.00","49.00",""
"54.00","54.00",""
"89.00","89.00",""
"89.00","74.00","89.00"
"56.00","44.00",""
"89.00","74.00","89.00"
"110.00","120.00","110.00"
"109.00","109.00",""
"109.00","109.00",""
"69.00","69.00",""
"240.00","240.00",""
"89.00","89.00",""
"240.00","240.00",""
"78.00","67.00","70.00"
"69.00","69.00",""
"69.00","69.00",""
"49.00","49.00",""
"49.00","49.00",""
"100.00","140.00","100.00"
"100.00","100.00",""
"250.00","300.00","250.00"
"79.00","79.00",""
"59.00","59.00",""
"89.00","89.00",""
"135.00","135.00",""
"100.00","100.00",""
"49.00","49.00",""
"80.00","109.00","80.00"
"41.00","54.00","41.00"
"50.00","69.00","50.00"
"71.00","89.00","71.00"
"80.00","109.00","80.00"
"50.00","89.00","50.00"
"110.00","89.00","110.00"
"77.90","109.00","77.90"
"77.90","109.00","77.90"
"89.00","109.00","89.00"
"80.00","109.00","80.00"
"79.00","79.00",""
"100.00","109.00","100.00"
"140.00","120.00","140.00"
"89.00","109.00","89.00"
"65.00","49.00","65.00"
"78.00","99.00","78.00"
"69.00","69.00",""
"69.00","69.00",""
"69.00","69.00",""
"200.00","200.00",""
"79.00","79.00",""
"79.00","79.00",""
"104.00","110.00","104.00"
"140.00","140.00",""
"89.00","89.00",""
"49.00","49.00",""
"104.00","104.00",""
"100.00","100.00",""
"124.00","124.00",""
"100.00","100.00",""
"100.00","100.00",""
"78.00","99.00","78.00"
"100.00","100.00",""
"112.00","112.00",""
"69.00","69.00",""
"89.00","89.00",""
"100.00","100.00",""
"78.00","99.00","78.00"
"89.00","99.00","89.00"
"155.60","200.00","136.00"
"89.00","89.00",""
"130.00","145.00","130.00"
"90.00","120.00","90.00"
"69.00","69.00",""
"70.00","69.00","70.00"
"100.00","100.00",""
"112.00","99.00","76.00"
"50.00","49.00","50.00"
"29.00","98.00","29.00"
"29.00","98.00","29.00"
"310.00","240.00","220.00"
"100.00","100.00",""
"160.00","150.00","160.00"
"56.00","49.00","56.00"
"150.00","140.00","150.00"
"140.00","140.00",""
"105.00","105.00",""
"74.00","74.00",""
"105.00","105.00",""
"125.00","125.00",""
"69.00","69.00",""
"78.00","99.00","78.00"
"109.00","109.00",""
"29.00","100.00","29.00"
"119.00","100.00","119.00"
"100.00","100.00",""
"124.00","124.00",""
"120.00","120.00",""
"49.00","49.00",""
"54.00","54.00",""
"200.00","200.00",""
"59.00","59.00",""
"59.00","59.00",""
"89.00","89.00",""
"100.00","99.00","100.00"
"49.00","54.00","49.00"
"49.00","54.00","49.00"
"111.20","69.00",""
"133.40","125.00","120.00"
"89.00","104.00","89.00"
"138.00","120.00","138.00"
"152.30","145.00","130.00"
"99.00","99.00",""
"167.00","109.00","167.00"
"100.00","100.00",""
"166.70","99.00","79.00"
"230.00","155.00","230.00"
"100.00","100.00",""
"309.00","109.00",""
"49.00","44.00","49.00"
"70.00","99.00","70.00"
"120.00","120.00",""
"49.00","49.00",""
"49.00","49.00",""
"100.00","100.00",""
"49.00","49.00",""
"69.00","69.00",""
"69.00","69.00",""
"69.00","69.00",""
"94.00","94.00",""
"69.00","69.00",""
"60.00","89.00","60.00"
"120.00","120.00",""
"100.00","99.00","100.00"
"77.00","69.00","77.00"
"120.00","160.00","120.00"
"112.00","100.00",""
"94.00","94.00",""
"89.00","89.00",""
"100.00","100.00",""
"112.00","100.00",""
"222.00","109.00","200.00"
"77.00","77.00",""
"109.00","109.00",""
"80.00","100.00","80.00"
"320.00","320.00",""
"80.00","100.00","80.00"
"78.00","100.00","78.00"
"80.00","109.00","80.00"
"109.00","109.00",""
"240.00","160.00","240.00"
"54.00","54.00",""
"54.00","54.00",""
"100.00","100.00",""
"78.00","100.00","78.00"
"100.00","89.00","100.00"
"135.00","125.00","135.00"
"77.00","69.00","77.00"
"111.20","89.00",""
"109.00","109.00",""
"80.00","109.00","80.00"
"50.00","89.00","50.00"
"69.00","69.00",""
"120.00","120.00",""
"175.00","140.00","175.00"
"29.00","109.00","29.00"
"109.00","109.00",""
"29.00","98.00","29.00"
"78.00","109.00","78.00"
"88.90","109.00","88.90"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"119.00","109.00","119.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"49.00","49.00",""
"49.00","49.00",""
"80.00","109.00","80.00"
"80.00","100.00","80.00"
"80.00","99.00","80.00"
"79.00","69.00","79.00"
"79.00","69.00","79.00"
"109.00","109.00",""
"400.00","420.00","400.00"
"49.00","49.00",""
"69.00","69.00",""
"100.00","100.00",""
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"78.00","109.00","78.00"
"89.00","86.00","89.00"
"70.00","69.00","70.00"
"109.00","109.00",""
"78.00","109.00","78.00"
"222.23","215.00","222.23"
"66.70","49.00","50.00"
"170.00","170.00",""
"350.00","384.00","350.00"
"49.00","49.00",""
"109.00","109.00",""
"109.00","109.00",""
"200.00","225.00","200.00"
"280.00","300.00","280.00"
"80.00","109.00","80.00"
"120.00","140.00","120.00"
"195.00","195.00",""
"109.00","109.00",""
"100.00","109.00","100.00"
"100.00","100.00",""
"94.00","94.00",""
"80.00","99.00","80.00"
"100.00","109.00","100.00"
"70.00","109.00","70.00"
"69.00","69.00",""
"79.00","79.00",""
"190.00","200.00","190.00"
"100.00","100.00",""
"150.00","195.00","150.00"
"50.00","79.00","50.00"
"120.00","100.00","100.00"
"89.00","89.00",""
"78.00","109.00","78.00"
"100.00","119.00","100.00"
"165.00","130.00","165.00"
"140.00","120.00","140.00"
"92.30","109.00","70.00"
"150.00","140.00",""
"49.00","49.00",""
"223.00","200.00",""
"49.00","49.00",""
"78.00","99.00","78.00"
"88.90","99.00","70.00"
"78.00","109.00","78.00"
"78.00","100.00","78.00"
"60.00","89.00","60.00"
"620.00","640.00","620.00"
"49.00","49.00",""
"114.00","114.00",""
"69.00","69.00",""
"79.00","69.00","79.00"
"109.00","109.00",""
"78.00","109.00","78.00"
"69.00","69.00",""
"80.00","109.00","80.00"
"255.60","125.00","200.00"
"77.00","69.00",""
"100.00","125.00","100.00"
"78.00","100.00","78.00"
"140.00","400.00","140.00"
"109.00","109.00",""
"120.00","120.00",""
"109.00","109.00",""
"100.00","100.00",""
"100.00","100.00",""
"140.00","140.00","140.00"
"100.00","100.00",""
"29.00","109.00","29.00"
"78.00","100.00","78.00"
"120.00","120.00",""
"220.00","220.00",""
"84.00","74.00",""
"79.00","79.00",""
"1000.00","1082.00","1000.00"
"78.00","100.00","78.00"
"100.00","100.00",""
"80.00","99.00","80.00"
"49.00","49.00",""
"115.00","115.00",""
"110.00","133.00","110.00"
"110.00","190.00","110.00"
"99.00","99.00",""
"54.00","54.00",""
"54.00","54.00",""
